replica	category_id	selected_structure_id	threshold_variable	threshold_value	supporting_outer_fold_count	supporting_outer_folds_json	is_nominal_structure
677	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.56932830810544	3	[2,3,4]	True
677	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.358383053337164	3	[2,3,4]	True
678	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	2	[1,2]	True
678	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	209.36643668683334	2	[1,2]	True
678	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.877948909952416	2	[1,2]	True
681	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	180.19365835189816	2	[1,4]	True
681	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.76219782484094	2	[1,4]	True
688	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.748628493001711	2	[0,3]	True
688	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	164.73708096689654	2	[0,3]	True
688	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.868158931370175	2	[0,3]	True
690	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.8003940582275	2	[0,3]	True
690	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.6772268486381	2	[0,3]	True
697	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.8262033462524	2	[1,4]	True
697	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.574277091081775	2	[1,4]	True
705	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	184.63253211975095	3	[1,2,4]	True
705	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.86064742740069	3	[1,2,4]	True
714	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	181.50828742980954	2	[1,2]	True
714	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	37.00719507956083	2	[1,2]	True
726	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.809818891966871	2	[1,2]	True
726	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	208.7757371124349	2	[1,2]	True
726	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.88675023011027	2	[1,2]	True
728	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.06502342224118	2	[1,2]	True
728	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.48301253179719	2	[1,2]	True
739	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	176.6848678588867	3	[0,1,3]	True
739	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.565140366039216	3	[0,1,3]	True
743	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	177.95726394653317	3	[1,2,3]	True
743	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.96205818578928	3	[1,2,3]	True
745	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	183.43025779724118	2	[2,4]	True
745	exact3tag	radial_mass__category__plus_ht_candidate_jets	r_hh_125_125	36.724905510226804	2	[2,4]	True
748	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	abs_h_delta_eta	6.998785436981115	2	[1,3]	True
748	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	mhh	208.7757371124349	2	[1,3]	True
748	ge4tag	radial_mass__category__plus_mhh_and_abs_h_delta_eta	r_hh_125_125	33.88208620497156	2	[1,3]	True
749	exact3tag	radial_mass__category__plus_ht_candidate_jets	ht_candidate_jets	185.26906013488767	2	[1,4]	True
