sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_x_mean_gev	p1_y_mean_gev	p1_physical	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_valid	p2_physical	p2_in_target_region	bg_amp	reasons
ZH	177	949	0.9984901547431946	True	115.56806369326999	174.62621275321936	True	False	0.0	500.0	500.0	False	False	False	0.0022955338821678294	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	179	951	0.9991963505744934	True	109.93781447413727	105.55109357394328	True	False	0.005440326095311177	103.49286163668295	156.69586586761886	True	True	False	0.002022945672797684	one_or_more_parameters_at_bound
ZH	182	980	0.9999823570251465	True	89.35995203853139	126.60093234349034	True	True	0.022145494681901908	141.6249673782334	89.62249716065975	True	True	False	0.00031030065024084127	one_or_more_parameters_at_bound
ZH	183	993	0.9998714923858643	True	85.58646169793816	120.50574392181876	True	True	0.01529759683420439	118.65448743242933	160.06988247084226	True	True	False	0.002912621000240344	one_or_more_parameters_at_bound
ZH	185	997	0.9994149804115295	True	95.45588004892993	193.86160793746174	True	False	0.004237642248300897	95.3416118965394	95.56698144285544	True	True	False	9.014731889088396e-39	one_or_more_parameters_at_bound
ZZ	1	29	0.9977457523345947	True	86.45840643488383	85.61164363209093	True	True	0.009904069259833552	74.61909872962777	81.4311481857449	True	True	False	0.0009897931221357645	one_or_more_parameters_at_bound
ZZ	2	47	0.9998932480812073	True	96.02019803903873	102.54899812640674	True	True	0.005270254197887806	116.81646343862114	100.62115513986623	True	True	False	0.00044674171433869915	one_or_more_parameters_at_bound
ZZ	4	67	0.9982466101646423	True	112.13439161426355	113.72289507406445	True	False	0.016280129581059403	168.965326655922	113.67098532346476	True	True	False	0.0026962207508513885	one_or_more_parameters_at_bound
ZZ	5	74	0.9984341859817505	True	88.49259292574702	86.10725027735033	True	True	0.007267329061924651	87.0957144073159	118.69612945669923	True	True	False	0.0009419423753482346	one_or_more_parameters_at_bound
ZZ	7	96	0.998211681842804	True	95.02385966507951	190.30521405742314	True	False	0.0	500.0	500.0	False	False	False	3.7741603312787285e-05	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZZ	8	104	0.998812735080719	True	103.64216585605178	107.09026229194356	True	False	0.00967641995880803	103.32859583604152	87.16605983648336	True	True	True	0.0006057972961405347	one_or_more_parameters_at_bound
ZZ	11	176	0.9994218945503235	True	93.5982615556322	100.6465897667882	True	True	0.025956608852914252	152.87321445646384	98.68648409822218	True	True	False	0.0005290100046676468	one_or_more_parameters_at_bound
ZZ	13	200	0.9984057545661926	True	100.90551786639124	174.8783026845055	True	False	0.005164991562839076	211.16194744961834	185.11318803735523	True	False	False	0.0045272722340857306	secondary_nonphysical
ZZ	14	255	0.9987552165985107	True	95.74120831215288	196.46807760087395	True	False	0.0	500.0	500.0	False	False	False	0.0003148618254157843	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZZ	15	256	0.9992613792419434	True	98.82794204427545	169.7009119557733	True	False	0.0021985243014598717	170.19611207455665	130.6644104348376	True	True	False	0.0018802698512072637	one_or_more_parameters_at_bound
ZZ	16	267	0.9996732473373413	True	80.21936290194195	82.18706677656192	True	True	0.00531760819179324	82.42246238085619	158.73435185122503	True	True	False	0.00026483086112439306	one_or_more_parameters_at_bound
ZZ	18	333	0.9989505410194397	True	88.20171281259736	159.9946294543005	True	False	0.054811078993984755	87.13180189734493	54.05673111293933	True	True	False	0.002879280439322537	one_or_more_parameters_at_bound
ZZ	19	340	0.9971610307693481	True	88.91624435593808	197.36333216986569	True	False	7.945578427811206	173.6958027514701	18.452851686499233	True	False	False	0.0006050090313405577	secondary_nonphysical
ZZ	20	354	0.9973181486129761	True	93.48429728968107	127.90344695602349	True	False	0.0	500.0	500.0	False	False	False	0.0011215990795888655	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZZ	21	356	0.9998041391372681	True	83.77346814608259	84.2056410936485	True	True	0.029421330029460287	201.75937713208006	208.34000287005222	True	False	False	0.0001681194696366365	secondary_nonphysical
ZZ	22	399	0.9994518756866455	True	79.94162108161406	108.25040517460339	True	False	6.386186100044614	119.88729306464317	89.53563479901536	True	True	False	0.00024083796815392531	one_or_more_parameters_at_bound
ZZ	24	447	0.9979170560836792	True	82.32079731956071	95.93845965907263	True	True	0.013034544740995593	100.6067530978422	152.5490864284585	True	True	False	0.0023440575747616984	one_or_more_parameters_at_bound
ZZ	26	469	0.9990359544754028	False	85.0	195.0	False	False	0.0	500.0	500.0	False	False	False	0.02231181910633581	primary_fit_failed,secondary_invalid_or_sentinel
ZZ	27	492	0.9975481629371643	True	104.96125724427584	106.7851866956971	True	False	0.009820964048776382	208.06361131066816	187.1668873392423	True	False	False	0.0021990516585931085	secondary_nonphysical,one_or_more_parameters_at_bound
ZZ	28	507	0.9972639083862305	True	88.55856439357767	79.56492785247377	True	True	0.0	500.0	500.0	False	False	False	0.0002770080905305383	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZZ	29	510	0.9970289468765259	True	88.39403606731695	145.146037454097	True	False	0.0	500.0	500.0	False	False	False	0.003215959419484291	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZZ	30	512	0.9997056722640991	True	86.63809857320062	90.58242324805566	True	True	0.0026013001704618356	78.01057211234868	81.26036010183485	True	True	True	0.0012691441655541982	one_or_more_parameters_at_bound
ZZ	31	526	0.9982991814613342	True	82.12040744365459	86.65639113422127	True	True	0.008389680045360441	69.14467902142107	94.62456768511672	True	True	False	0.0021735613227455266	one_or_more_parameters_at_bound
ZZ	32	544	0.9996742010116577	True	89.64076831063291	212.70713411131766	False	False	0.006325922414136122	86.54714495571565	91.20973811657957	True	True	True	0.00015287771450170196	primary_nonphysical
ZZ	34	557	0.9986189007759094	True	90.26560494437172	163.62217067954268	True	False	0.012598974313269746	91.16311750228205	97.21053374219056	True	True	True	0.0002265551938110024	one_or_more_parameters_at_bound
ZZ	35	591	0.9996837973594666	True	96.43913352451798	98.52110403640351	True	True	0.04080526742543305	186.18686456928995	99.90247593830817	True	True	False	0.0021965127126471213	one_or_more_parameters_at_bound
